,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,426, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,426, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,437, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,426, , , 
11,"                                11
                            ",4,English - Maths-4,437, , , 
12,"                                12
                            ",5,English - EVS-5,340, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,437, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,340, , , 
15,"                                15
                            ",5,English - Maths-5,340, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,340, , , 
17,"                                17
                            ",6,English - Maths-6,289, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,244, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,289, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,289, , , 
21,"                                21
                            ",6,English - Soc. Science-6,289, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,244, , , 
23,"                                23
                            ",7,English - Maths-7,70,4068,5811,-5711
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,244, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,244, , , 
26,"                                26
                            ",7,English - Science-7,70, , , 
27,"                                27
                            ",7,English - Social Science-7,70, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,70, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,21,2777,13223,-13123
30,"                                30
                            ",8,English - Maths-8,70, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,21, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,21, , , 
33,"                                33
                            ",8,English - Science-8,70, , , 
34,"                                34
                            ",8,English - Social Science-8,70, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,47757,43397,90,10
36,"                                36
                            ",1,Hindi - GANIT -1,53209,42894,80,20
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,47737,43522,91,9
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,53520,50279,93,7
39,"                                39
                            ",2,Hindi - GANIT -2,53577,50124,93,7
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,53367,50552,94,6
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,55530,58590,105,-5
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,54300,52286,96,4
43,"                                43
                            ",3,Hindi - GANIT -3,48893,32686,66,34
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,54061,46541,86,14
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,46658,38379,82,18
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,51965,49519,95,5
47,"                                47
                            ",4,Hindi - GANIT -4,51974,50254,96,4
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,52024,45234,86,14
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),43969,41342,94,6
