,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
78,"                                78
                            ",2,Marathi - Language-Marathi-2,137, , , 
79,"                                79
                            ",2,Marathi - Maths-2,75, , , 
80,"                                80
                            ",3,Marathi - EVS-3,75, , , 
81,"                                81
                            ",3,Marathi - General Hindi-3,75, , , 
82,"                                82
                            ",3,Marathi - Language-English Reader (General Series) -3,75, , , 
83,"                                83
                            ",3,Marathi - Language-Marathi-3,75, , , 
84,"                                84
                            ",3,Marathi - Maths-3,75, , , 
85,"                                85
                            ",4,Marathi - EVS-4,733, , , 
86,"                                86
                            ",4,Marathi - Language-English Reader (General Series) -4,176, , , 
87,"                                87
                            ",4,Marathi - Language-Marathi-4,755, , , 
88,"                                88
                            ",4,Marathi - Maths-4,898, , , 
89,"                                89
                            ",5,Marathi - EVS-5, , , , 
90,"                                90
                            ",5,Marathi - Hindi General -5,83, , , 
91,"                                91
                            ",5,Marathi - Language-English Reader (General Series) -3, , , , 
92,"                                92
                            ",5,Marathi - Language-Marathi-5,121, , , 
93,"                                93
                            ",5,Marathi - Maths-5, , , , 
94,"                                94
                            ",6,Marathi - Language-English Reader (General Series) -3, , , , 
95,"                                95
                            ",6,Marathi - Language-Marathi Bhasha Bharti-6, , , , 
96,"                                96
                            ",6,Marathi - Maths-6, , , , 
97,"                                97
                            ",6,Marathi - Sahayak Vachan-6, , , , 
98,"                                98
                            ",6,Marathi - SCIENCE-6 , , , , 
99,"                                99
                            ",6,Marathi - Social Science-6, , , , 
100,"                                100
                            ",7,Marathi - Language-English Reader (General Series) -3, , , , 
101,"                                101
                            ",7,Marathi - Language-Marathi-7, , , , 
102,"                                102
                            ",7,Marathi - Marathi Sahayak Vachan-7, , , , 
103,"                                103
                            ",7,Marathi - Maths-7, , , , 
104,"                                104
                            ",7,Marathi - Science-7, , , , 
105,"                                105
                            ",7,Marathi - Social Science-7, , , , 
106,"                                106
                            ",8,Marathi - General Hindi-8, , , , 
107,"                                107
                            ",8,Marathi - Language-English Reader (General Series) -8, , , , 
108,"                                108
                            ",8,Marathi - Language-Marathi Bhasha Bharti-8, , , , 
109,"                                109
                            ",8,Marathi - Marathi Sahayak Vachan-7, , , , 
110,"                                110
                            ",8,Marathi - Maths-8, , , , 
111,"                                111
                            ",8,Marathi - Science-8, , , , 
112,"                                112
                            ",8,Marathi - Social Science-8, , , , 
113,"                                113
                            ",1,Urdu - Language-English Reader (General Series) -1, , , , 
114,"                                114
                            ",1,Urdu - Maths-1, , , , 
115,"                                115
                            ",1,Urdu - Urdu Bharti-1, , , , 
116,"                                116
                            ",2,Urdu - Language-English Reader (General Series) -2, , , , 
117,"                                117
                            ",2,Urdu - Maths-2, , , , 
118,"                                118
                            ",2,Urdu - Urdu Bharti-2, , , , 
119,"                                119
                            ",3,Urdu - General Hindi-3, , , , 
120,"                                120
                            ",3,Urdu - Language-English Reader (General Series) -3, , , , 
121,"                                121
                            ",3,Urdu - Maths-3, , , , 
122,"                                122
                            ",3,Urdu - Urdu Bharti-3, , , , 
123,"                                123
                            ",3,Urdu - Urdu Environment Science-3, , , , 
124,"                                124
                            ",4,Urdu - Environment Science-4, , , , 
125,"                                125
                            ",4,Urdu - Language-English Reader (General Series) -4, , , , 
126,"                                126
                            ",4,Urdu - Maths-4, , , , 
127,"                                127
                            ",4,Urdu - Urdu Bharti-4, , , , 
128,"                                128
                            ",5,Urdu - Environment Science-5, , , , 
129,"                                129
                            ",5,Urdu - General Hindi-5, , , , 
130,"                                130
                            ",5,Urdu - Language-English Reader (General Series) -5, , , , 
131,"                                131
                            ",5,Urdu - Maths-5, , , , 
132,"                                132
                            ",5,Urdu - Urdu Bharti-5, , , , 
133,"                                133
                            ",6,Urdu - Language-English Reader (General Series) -6, , , , 
134,"                                134
                            ",6,Urdu - Maths-6, , , , 
135,"                                135
                            ",6,Urdu - Sahayak Wachan-6, , , , 
136,"                                136
                            ",6,Urdu - SCIENCE-6 , , , , 
137,"                                137
                            ",6,Urdu - Social Science-6, , , , 
138,"                                138
                            ",6,Urdu - Urdu Bharti-6, , , , 
139,"                                139
                            ",7,Urdu - Language-English Reader (General Series) -7, , , , 
140,"                                140
                            ",7,Urdu - Maths-7, , , , 
141,"                                141
                            ",7,Urdu - Sahayak Wachan-7, , , , 
142,"                                142
                            ",7,Urdu - Science-7, , , , 
143,"                                143
                            ",7,Urdu - Social Science-7, , , , 
144,"                                144
                            ",7,Urdu - Urdu Bharti-6, , , , 
145,"                                145
                            ",8,Urdu - Language-English Reader (General Series) -8, , , , 
146,"                                146
                            ",8,Urdu - Maths-8, , , , 
147,"                                147
                            ",8,Urdu - Sahayak Wachan-8, , , , 
148,"                                148
                            ",8,Urdu - Science-8, , , , 
149,"                                149
                            ",8,Urdu - Social Science-8, , , , 
150,"                                150
                            ",8,Urdu - Urdu Bharti-8, , , , 
151,"                                151
                            ",8,Urdu - Urdu Bharti-8, , , , 
