,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,34689,31404,90,10
47,"                                47
                            ",4,Hindi - GANIT -4,34789,18738,53,47
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,34789,32284,92,8
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),33877,30790,90,10
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,33877,29955,88,12
51,"                                51
                            ",5,Hindi - GANIT -5,33877,17986,53,47
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,33877,30437,89,11
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,32502,31850,97,3
54,"                                54
                            ",6,Hindi - GANIT -6,32502,18838,57,43
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,32502,15391,47,53
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,32745,31610,96,4
57,"                                57
                            ",6,Hindi - SCIENCE-6 ,32502,31850,97,3
58,"                                58
                            ",6,Hindi - SOCIAL SCIENCE-6,32502,31180,95,5
59,"                                59
                            ",6,Hindi - SURBHI-6,32502,31180,95,5
60,"                                60
                            ",7,Hindi - BHASHA BHARTI -7,28615,26236,91,9
61,"                                61
                            ",7,Hindi - GANIT -7,28615,26236,91,9
62,"                                62
                            ",7,Hindi - Language-English READER ( GENERAL SERIES) -7,28615,20795,72,28
63,"                                63
                            ",7,Hindi - SAHAYAK WACHAN-7,29374,26236,89,11
64,"                                64
                            ",7,Hindi - SCIENCE-7 ,28615,26236,91,9
65,"                                65
                            ",7,Hindi - SOCIAL SCIENCE-7,28565,25621,89,11
66,"                                66
                            ",7,Hindi - SURBHI-7,28565,20230,70,30
67,"                                67
                            ",8,Hindi - BHASHA BHARTI (SPECIAL),29386,21876,74,26
68,"                                68
                            ",8,Hindi - GANIT -8,29386,16321,55,45
69,"                                69
                            ",8,Hindi - Language-English READER ( GENERAL SERIES) -8,29386,21870,74,26
70,"                                70
                            ",8,Hindi - SAHAYAK WACHAN-8,29386,21782,74,26
71,"                                71
                            ",8,Hindi - SCIENCE-8,29386,25547,86,14
72,"                                72
                            ",8,Hindi - SOCIAL SCIENCE-8,29386,21471,73,27
73,"                                73
                            ",8,Hindi - SURBHI-8,29386,21471,73,27
74,"                                74
                            ",1,Marathi - Language-English Reader (General Series) -1,905, , , 
75,"                                75
                            ",1,Marathi - Language-Marathi-1,905, , , 
76,"                                76
                            ",1,Marathi - Maths-1,905, , , 
77,"                                77
                            ",2,Marathi - Language-English Reader (General Series) -2,545, , , 
78,"                                78
                            ",2,Marathi - Language-Marathi-2,905, , , 
79,"                                79
                            ",2,Marathi - Maths-2,545, , , 
80,"                                80
                            ",3,Marathi - EVS-3,545, , , 
81,"                                81
                            ",3,Marathi - General Hindi-3,545, , , 
82,"                                82
                            ",3,Marathi - Language-English Reader (General Series) -3,545,3778,693,-593
83,"                                83
                            ",3,Marathi - Language-Marathi-3,545, , , 
84,"                                84
                            ",3,Marathi - Maths-3,545, , , 
85,"                                85
                            ",4,Marathi - EVS-4,15, , , 
86,"                                86
                            ",4,Marathi - Language-English Reader (General Series) -4,15, , , 
87,"                                87
                            ",4,Marathi - Language-Marathi-4,15, , , 
88,"                                88
                            ",4,Marathi - Maths-4,15, , , 
89,"                                89
                            ",5,Marathi - EVS-5,380, , , 
90,"                                90
                            ",5,Marathi - Hindi General -5,15, , , 
91,"                                91
                            ",5,Marathi - Language-English Reader (General Series) -3,360, , , 
92,"                                92
                            ",5,Marathi - Language-Marathi-5,15, , , 
93,"                                93
                            ",5,Marathi - Maths-5,380, , , 
94,"                                94
                            ",6,Marathi - Language-English Reader (General Series) -3,380, , , 
95,"                                95
                            ",6,Marathi - Language-Marathi Bhasha Bharti-6,360, , , 
96,"                                96
                            ",6,Marathi - Maths-6,380, , , 
97,"                                97
                            ",6,Marathi - Sahayak Vachan-6,400, , , 
98,"                                98
                            ",6,Marathi - SCIENCE-6 ,380, , , 
99,"                                99
                            ",6,Marathi - Social Science-6,380, , , 
100,"                                100
                            ",7,Marathi - Language-English Reader (General Series) -3,311, , , 
101,"                                101
                            ",7,Marathi - Language-Marathi-7,400, , , 
102,"                                102
                            ",7,Marathi - Marathi Sahayak Vachan-7,311, , , 
103,"                                103
                            ",7,Marathi - Maths-7,400, , , 
104,"                                104
                            ",7,Marathi - Science-7,400, , , 
105,"                                105
                            ",7,Marathi - Social Science-7,311, , , 
106,"                                106
                            ",8,Marathi - General Hindi-8,260, , , 
107,"                                107
                            ",8,Marathi - Language-English Reader (General Series) -8,260, , , 
108,"                                108
                            ",8,Marathi - Language-Marathi Bhasha Bharti-8,311, , , 
109,"                                109
                            ",8,Marathi - Marathi Sahayak Vachan-7,260, , , 
110,"                                110
                            ",8,Marathi - Maths-8,260, , , 
111,"                                111
                            ",8,Marathi - Science-8,260, , , 
112,"                                112
                            ",8,Marathi - Social Science-8,260, , , 
113,"                                113
                            ",1,Urdu - Language-English Reader (General Series) -1,201, , , 
114,"                                114
                            ",1,Urdu - Maths-1,201, , , 
115,"                                115
                            ",1,Urdu - Urdu Bharti-1,201, , , 
116,"                                116
                            ",2,Urdu - Language-English Reader (General Series) -2,201, , , 
117,"                                117
                            ",2,Urdu - Maths-2,201, , , 
118,"                                118
                            ",2,Urdu - Urdu Bharti-2,201, , , 
119,"                                119
                            ",3,Urdu - General Hindi-3,178, , , 
120,"                                120
                            ",3,Urdu - Language-English Reader (General Series) -3,178, , , 
121,"                                121
                            ",3,Urdu - Maths-3,178, , , 
122,"                                122
                            ",3,Urdu - Urdu Bharti-3,178, , , 
123,"                                123
                            ",3,Urdu - Urdu Environment Science-3,178, , , 
124,"                                124
                            ",4,Urdu - Environment Science-4,178, , , 
125,"                                125
                            ",4,Urdu - Language-English Reader (General Series) -4, , , , 
126,"                                126
                            ",4,Urdu - Maths-4, , , , 
127,"                                127
                            ",4,Urdu - Urdu Bharti-4, , , , 
128,"                                128
                            ",5,Urdu - Environment Science-5, , , , 
129,"                                129
                            ",5,Urdu - General Hindi-5, , , , 
130,"                                130
                            ",5,Urdu - Language-English Reader (General Series) -5, , , , 
131,"                                131
                            ",5,Urdu - Maths-5, , , , 
132,"                                132
                            ",5,Urdu - Urdu Bharti-5, , , , 
133,"                                133
                            ",6,Urdu - Language-English Reader (General Series) -6, , , , 
134,"                                134
                            ",6,Urdu - Maths-6, , , , 
135,"                                135
                            ",6,Urdu - Sahayak Wachan-6, , , , 
136,"                                136
                            ",6,Urdu - SCIENCE-6 , , , , 
137,"                                137
                            ",6,Urdu - Social Science-6, , , , 
138,"                                138
                            ",6,Urdu - Urdu Bharti-6, , , , 
139,"                                139
                            ",7,Urdu - Language-English Reader (General Series) -7, , , , 
140,"                                140
                            ",7,Urdu - Maths-7, , , , 
141,"                                141
                            ",7,Urdu - Sahayak Wachan-7, , , , 
142,"                                142
                            ",7,Urdu - Science-7, , , , 
143,"                                143
                            ",7,Urdu - Social Science-7, , , , 
144,"                                144
                            ",7,Urdu - Urdu Bharti-6, , , , 
145,"                                145
                            ",8,Urdu - Language-English Reader (General Series) -8, , , , 
146,"                                146
                            ",8,Urdu - Maths-8, , , , 
147,"                                147
                            ",8,Urdu - Sahayak Wachan-8, , , , 
148,"                                148
                            ",8,Urdu - Science-8, , , , 
149,"                                149
                            ",8,Urdu - Social Science-8, , , , 
150,"                                150
                            ",8,Urdu - Urdu Bharti-8, , , , 
151,"                                151
                            ",8,Urdu - Urdu Bharti-8, , , , 
