,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,915,890,97,3
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,915,890,97,3
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,852,838,98,2
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,915,890,97,3
11,"                                11
                            ",4,English - Maths-4,852,838,98,2
12,"                                12
                            ",5,English - EVS-5,792,770,97,3
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,852,838,98,2
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,792,770,97,3
15,"                                15
                            ",5,English - Maths-5,792,770,97,3
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,792,770,97,3
17,"                                17
                            ",6,English - Maths-6,811,790,97,3
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,791,770,97,3
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,811,790,97,3
20,"                                20
                            ",6,English - SCIENCE-6 ,811,790,97,3
21,"                                21
                            ",6,English - Soc. Science-6,811,790,97,3
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,792,770,97,3
23,"                                23
                            ",7,English - Maths-7,568,540,95,5
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,792,770,97,3
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,792,770,97,3
26,"                                26
                            ",7,English - Science-7,568,540,95,5
27,"                                27
                            ",7,English - Social Science-7,568,540,95,5
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,568,540,95,5
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,703,665,94,6
30,"                                30
                            ",8,English - Maths-8,568,540,95,5
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,703,665,94,6
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,703,665,94,6
33,"                                33
                            ",8,English - Science-8,568,540,95,5
34,"                                34
                            ",8,English - Social Science-8,568,540,95,5
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,24034,20252,84,16
36,"                                36
                            ",1,Hindi - GANIT -1,15046,20252,134,-34
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,15046,20252,134,-34
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,26267,21513,81,19
39,"                                39
                            ",2,Hindi - GANIT -2,16653,21513,129,-29
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,16653,21513,129,-29
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,28184,23528,83,17
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,18668,23528,126,-26
43,"                                43
                            ",3,Hindi - GANIT -3,18668,23528,126,-26
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,18668,23528,126,-26
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,27057,22559,83,17
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,17857,17384,97,3
47,"                                47
                            ",4,Hindi - GANIT -4,17857,22559,126,-26
