,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,44, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,44, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,44, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,44, , , 
11,"                                11
                            ",4,English - Maths-4,44, , , 
12,"                                12
                            ",5,English - EVS-5,42, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,44, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,42, , , 
15,"                                15
                            ",5,English - Maths-5,42, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,42, , , 
17,"                                17
                            ",6,English - Maths-6,40, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,40, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,40, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,40, , , 
21,"                                21
                            ",6,English - Soc. Science-6,40, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,40, , , 
23,"                                23
                            ",7,English - Maths-7,40, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,40, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,40, , , 
26,"                                26
                            ",7,English - Science-7,40, , , 
27,"                                27
                            ",7,English - Social Science-7,40, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,40, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,40, , , 
30,"                                30
                            ",8,English - Maths-8,40, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,40, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,40, , , 
33,"                                33
                            ",8,English - Science-8,40, , , 
34,"                                34
                            ",8,English - Social Science-8,40, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,19680,4849,24,76
36,"                                36
                            ",1,Hindi - GANIT -1,19680,15140,76,24
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,19680,4834,24,76
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,19499,21849,112,-12
39,"                                39
                            ",2,Hindi - GANIT -2,18615,20174,108,-8
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,19179,21849,113,-13
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,23218,26540,114,-14
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,23448,26540,113,-13
43,"                                43
                            ",3,Hindi - GANIT -3,22832,26540,116,-16
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,22948,26540,115,-15
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,27610,31228,113,-13
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,28227,31228,110,-10
47,"                                47
                            ",4,Hindi - GANIT -4,27182,31228,114,-14
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,28074,31228,111,-11
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),27116,30688,113,-13
